start,truth int,fiction type ,film condensed,reality condensed,duration
00:01:16,3,,Lauda talks about his rivalry with Hunt. ,Lauda & Hunt were rivals. ,115
00:03:11,2,Character development,"Hunt swaggers into hospital, injured.","Hunt was hospitalised, & made the most of it. ",75
00:04:26,3,,Hunt has sex with a nurse.,Hunt loved sex.,51
00:05:17,3,,Crystal Palace 1970.,Hunt raced at Crystal Palace.,59
00:06:16,3,,Hunt throws up. ,Hunt threw up before every race.,22
00:06:38,0,Dramatic license,Hunt sees Lauda. ,Lauda wasn't there.,78
00:07:56,0,Dramatic license,Hunt beats Lauda in the race.,Lauda wasn't there.,119
00:09:55,0,Dramatic license,Lauda & Hunt argue.,Lauda wasn't there.,67
00:11:02,3,,"Lauda asks his dad for money, he refuses.",Lauda's family didn't support his career.,63
00:12:05,3,,He gets a bank loan. ,Lauda's early career was funded through bank loans.,12
01:12:25,3,,Lauda is rushed to hospital. ,Lauda was helicoptered to hospital.,42
00:12:17,1,Character development,Hunt wins Driver of the Year.,Hunt won second place.,77
00:13:34,3,,He finds out about Lauda's funding. ,Lauda bought his way into the sport.,41
00:14:15,3,,Lauda enters BRM for testing. ,BRM sought Lauda out.,34
00:14:49,3,,"He meets the new team, they're not keen. ",Lauda was the straight-talking type.,32
00:15:21,3,,He suggests improvements on the car. ,Lauda was an expert.,42
00:16:03,3,,They work on the car.,BRM had to do a lot to bring their cars up to standard.,43
00:16:46,1,Dramatic license,Lauda wins a bet.,"At Ferrari, not BRM.",82
00:18:08,3,,Lauda demands a 2yr contract.,Lauda got his 2yr contract.,63
00:19:11,0,Character development,Regazzoni warns Lauda not to date the track manager. ,Lauda was in a committed relationship.,83
00:20:34,3,,Hunt's team give him an F1 car.,Hesketh bought a March 731.,84
00:21:58,3,,Hunt sees a crash at F1.,Hunt saw the crash.,63
00:23:01,2,,"Finds out it was fatal, throws up.",Mark Donohue lost his life.,31
00:23:32,1,character development,Hunt calls for the race to be cancelled. ,This moment isn't in the Calley book. ,38
00:24:10,-1,,Hunt visualises the race.,This moment isn't in the Calley book. ,22
00:24:32,2,Narrative cohesion,Suzy & Hunt meet. ,"They met in Spain, got engaged.",140
00:26:52,3,,They get married. ,"They were married, Hesketh paid.",31
00:27:23,3,,Lauda gets signed by Ferrari. ,Ferrari headhunted Lauda.,29
00:27:52,3,,Lauda tells the engineers the Ferrari is shit.,Ferrari was paling until Lauda joined .,32
00:28:24,3,,Ferrari introduce Lauda & Regazzoni as their drivers.,Regazzoni persuaded Ferrari to take Lauda too.,12
00:28:36,3,,They drive through the countryside. ,They were buddies.,69
00:29:45,2,,Lauda asks Marlene for a lift from a party.,Lauda met Marlene at a party.,74
00:30:59,0,Dramatic license,Lauda tells Marlene her car is dodgy. ,Didn't happen.,68
00:32:07,0,Dramatic license,"The car breaks down, they flag a lift with 2 fans.",Didn't happen.,109
00:33:56,0,Dramatic license,The fans are super excited. ,Didn't happen.,72
00:35:08,0,Dramatic license,"Lauda puts his food down, Marlene is smitten. ",Didn't happen.,30
00:35:38,3,,Lauda wins the 1975 US Grand Prix.,Lauda was 1975 world champion.,121
00:37:39,2,Character development,Hunt says Lauda only won because his car was better. ,Lauda was a pro with engines.,144
00:40:03,3,,Hunt finds his team gone.,Team Hesketh ran out of money.,30
00:40:33,3,,Hesketh tells him they've gone bust.,The team got no sponsorship.,80
00:41:53,3,,Hunt gets wasted. ,Hunt lost his drive.,37
00:42:30,3,,Hunt finds out his reputation lost them sponsorship.,The team got no sponsorship.,27
00:42:57,3,,Hunt turns on Suzy. ,Their marriage was miserable .,102
00:44:39,3,,A spot opens at McLaren.,Hunt wanted Fittapaldi's spot.,37
00:45:16,3,,Hunt pleads for the drive. ,McLaren took Hunt on.,71
00:46:27,3,,Bubbles assures McLaren that Hunt can drive. ,Mayer disapproved of Hunt's antics.,24
00:46:51,3,,"Grand Premio de Brazil, Hunt & Lauda prep. ",Hunt & Lauda were true rivals.,70
00:48:01,3,,"Lauda wins, Hunt's car fails. ","Lauda won, Hunt retired.",13
00:48:14,3,,"Lauda wins South Africa, Hunt comes second. ","Lauda won, Hunt second.",22
00:48:36,3,,"Hunt wins Spain, Lauda second. Hunt disqualified. ","Lauda second, Hunt won (disqualified).",93
00:50:09,3,,"Monaco, Hunt's car fails. ","Lauda won, Hunt retired.",31
